id_currency, [date], rate
JPY, 26-02-2018, 52.8819
GBP, 27-02-2018, 78.5296
USD, 27-02-2018, 55.9208
EUR, 27-02-2018, 68.9224
CAD, 27-02-2018, 44.2762
CNY, 27-02-2018, 88.6506
NOK, 27-02-2018, 71.5191
TRY, 27-02-2018, 14.7939
JPY, 27-02-2018, 52.4438
GBP, 28-02-2018, 77.8624
USD, 28-02-2018, 55.6717
EUR, 28-02-2018, 68.6599
CAD, 28-02-2018, 43.8809
CNY, 28-02-2018, 88.2725
NOK, 28-02-2018, 71.1532
TRY, 28-02-2018, 14.7066
JPY, 28-02-2018, 51.9980
GBP, 01-03-2018, 78.2361
USD, 01-03-2018, 56.3742
EUR, 01-03-2018, 68.9062
CAD, 01-03-2018, 44.1389
CNY, 01-03-2018, 89.0250
NOK, 01-03-2018, 71.3318
TRY, 01-03-2018, 14.7933
JPY, 01-03-2018, 52.6100
